企业ID,行业名称,经营年份,注册金额（万元）,所在城市,城市等级,企业信用评分,月均营收（万元）,月均成本（万元）,员工人数,是否通过贷款,零售品类,门店面积（㎡）,月均客流量（人）
RETL-202512-006816,零售行业,14.0,210.6,沈阳,二线城市,709.0,755.1,470.5,106,通过,综合商超,909.5,34882
RETL-202512-372727,零售行业,5.0,318.1,大连,二线城市,454.0,868.5,724.8,81,通过,便利店,1475.1,33066
RETL-202512-927950,零售行业,4.0,277.6,天津,新一线城市,301.0,101.7,80.1,10,通过,家电零售,582.7,9243
RETL-202512-779711,零售行业,10.0,222.4,大连,二线城市,807.0,154.6,96.6,45,通过,文具零售,467.7,8018
RETL-202512-018214,零售行业,7.0,41.2,武汉,新一线城市,325.0,566.3,418.6,63,通过,综合商超,1279.3,36864
RETL-202512-549699,零售行业,8.0,441.3,哈尔滨,二线城市,671.0,902.5,760.4,116,通过,服饰零售,1491.5,34246
RETL-202512-719806,零售行业,10.0,486.9,济南,二线城市,398.0,593.4,438.8,83,通过,美妆零售,948.5,17699
RETL-202512-504089,零售行业,14.0,416.5,重庆,新一线城市,581.0,30.2,25.5,47,通过,服饰零售,497.0,1439
RETL-202512-325965,零售行业,15.0,465.3,常州,三线及以下,549.0,140.9,101.8,20,通过,综合商超,254.1,7221
RETL-202512-870995,零售行业,0.0,474.5,哈尔滨,二线城市,602.0,56.8,46.7,13,拒绝,服饰零售,593.4,2908
RETL-202512-861761,零售行业,14.0,283.7,武汉,新一线城市,699.0,329.8,238.1,27,通过,生鲜零售,98.1,3306
RETL-202512-731568,零售行业,2.0,208.1,邯郸,三线及以下,370.0,35.5,22.5,49,通过,美妆零售,33.5,2939
RETL-202512-209526,零售行业,6.0,,保定,三线及以下,729.0,456.8,315.1,55,通过,文具零售,693.3,8932
RETL-202512-814573,零售行业,,231.0,常州,三线及以下,353.0,259.7,195.8,33,通过,生鲜零售,742.7,8409
RETL-202512-499879,零售行业,4.0,267.4,广州,一线城市,705.0,569.6,344.8,62,拒绝,文具零售,1413.1,10857
RETL-202512-421305,零售行业,15.0,27.4,大连,二线城市,680.0,386.5,324.0,48,拒绝,便利店,35.9,2315
RETL-202512-254356,零售行业,10.0,461.3,重庆,新一线城市,396.0,816.7,590.2,86,通过,服饰零售,1149.8,18551
RETL-202512-453479,零售行业,12.0,78.6,邯郸,三线及以下,491.0,287.9,215.7,6,拒绝,文具零售,255.5,3123
RETL-202512-908768,零售行业,10.0,350.3,深圳,一线城市,858.0,168.8,110.0,30,通过,文具零售,155.4,1242
RETL-202512-470528,零售行业,11.0,201.6,哈尔滨,二线城市,648.0,114.0,92.1,40,通过,便利店,63.1,4060
RETL-202512-936295,零售行业,11.0,111.5,潍坊,三线及以下,857.0,278.9,169.4,15,拒绝,便利店,551.6,5288
RETL-202512-567014,零售行业,1.0,475.7,沈阳,二线城市,730.0,234.4,158.6,32,通过,美妆零售,558.1,6834
RETL-202512-169461,零售行业,4.0,40.4,天津,新一线城市,928.0,326.3,240.4,52,通过,便利店,281.5,6384
RETL-202512-884046,零售行业,3.0,28.4,大连,二线城市,886.0,44.3,32.6,10,通过,生鲜零售,599.5,1045
RETL-202512-023552,零售行业,13.0,216.1,北京,一线城市,392.0,368.3,438.4,16,通过,文具零售,778.3,1893
RETL-202512-963035,零售行业,15.0,371.9,南京,新一线城市,760.0,194.8,138.0,30,通过,综合商超,462.8,3059
RETL-202512-608292,零售行业,14.0,442.9,上海,一线城市,392.0,291.3,232.1,17,通过,便利店,486.9,4243
RETL-202512-269570,零售行业,8.0,172.8,青岛,二线城市,806.0,86.7,71.9,27,通过,服饰零售,619.7,9084
RETL-202512-851562,零售行业,4.0,109.2,广州,一线城市,461.0,787.9,519.2,79,通过,生鲜零售,834.4,28611
RETL-202512-158795,零售行业,10.0,258.4,天津,新一线城市,901.0,501.2,332.4,72,通过,服饰零售,924.6,39900
RETL-202512-615408,零售行业,1.0,126.4,青岛,二线城市,893.0,283.3,214.8,17,拒绝,综合商超,511.7,1021
RETL-202512-632069,零售行业,6.0,281.6,重庆,新一线城市,387.0,357.9,236.4,28,通过,生鲜零售,114.4,8144
RETL-202512-672372,零售行业,6.0,276.6,青岛,二线城市,444.0,728.2,455.0,109,通过,美妆零售,1078.2,28424
RETL-202512-318592,零售行业,14.0,249.3,阜阳,三线及以下,680.0,192.8,136.5,47,通过,家电零售,416.5,6902
RETL-202512-090331,零售行业,11.0,35.1,杭州,新一线城市,795.0,83.2,59.0,51,通过,美妆零售,689.6,9846
RETL-202512-913235,零售行业,,118.0,厦门,二线城市,800.0,124.5,88.9,22,通过,便利店,381.9,7491
RETL-202512-223487,零售行业,,88.0,北京,一线城市,793.0,276.3,228.6,9,通过,美妆零售,615.1,7719
RETL-202512-974946,零售行业,12.0,489.2,青岛,二线城市,484.0,111.4,82.7,18,通过,服饰零售,479.0,7353
RETL-202512-721195,零售行业,9.0,467.1,南京,新一线城市,552.0,83.0,63.6,56,通过,文具零售,762.6,8319
RETL-202512-018538,零售行业,13.0,117.4,重庆,新一线城市,691.0,59.5,36.2,49,通过,文具零售,87.7,5970
RETL-202512-728587,零售行业,3.0,218.9,西安,新一线城市,908.0,129.1,97.7,51,通过,综合商超,584.5,3544
RETL-202512-220128,零售行业,8.0,68.5,哈尔滨,二线城市,382.0,890.1,679.7,77,通过,美妆零售,861.5,31614
RETL-202512-241528,零售行业,2.0,99.5,阜阳,三线及以下,317.0,314.2,232.7,39,通过,服饰零售,445.4,9697
RETL-202512-085074,零售行业,4.0,197.9,邯郸,三线及以下,363.0,396.0,324.3,27,通过,综合商超,97.8,4753
RETL-202512-753676,零售行业,11.0,317.9,成都,新一线城市,433.0,134.6,96.9,48,通过,生鲜零售,666.6,5616
RETL-202512-754089,零售行业,5.0,123.0,济南,二线城市,476.0,382.2,298.0,43,通过,生鲜零售,65.4,3267
RETL-202512-210758,零售行业,3.0,484.1,成都,新一线城市,379.0,894.5,556.5,116,通过,服饰零售,1112.6,27380
RETL-202512-014230,零售行业,1.0,212.8,泉州,三线及以下,1100.0,556.8,376.8,76,通过,便利店,1434.3,33460
RETL-202512-172747,零售行业,13.0,112.1,西安,新一线城市,343.0,522.7,352.7,102,通过,便利店,1481.3,25464
RETL-202512-208325,零售行业,4.0,119.0,唐山,三线及以下,366.0,663.6,421.6,97,通过,生鲜零售,1381.9,23393
RETL-202512-588861,零售行业,13.0,64.4,北京,一线城市,407.0,412.7,322.8,36,通过,美妆零售,700.3,3527
RETL-202512-753481,零售行业,9.0,342.8,哈尔滨,二线城市,629.0,62.0,41.4,56,通过,便利店,482.1,7764
RETL-202512-022354,零售行业,14.0,262.3,北京,一线城市,568.0,287.5,198.4,51,通过,文具零售,71.2,5916
RETL-202512-314480,零售行业,25.0,104.2,泉州,三线及以下,874.0,83.0,55.2,25,通过,便利店,770.9,9673
RETL-202512-226658,零售行业,,167.3,广州,一线城市,698.0,231.7,174.3,19,通过,综合商超,52.7,7444
RETL-202512-002974,零售行业,11.0,65.9,青岛,二线城市,338.0,732.1,605.7,62,通过,便利店,1080.9,46734
RETL-202512-499036,零售行业,11.0,,杭州,新一线城市,301.0,678.6,544.4,65,拒绝,服饰零售,1437.9,49352
RETL-202512-852887,零售行业,7.0,262.5,阜阳,三线及以下,877.0,476.1,312.5,50,通过,家电零售,31.0,9743
RETL-202512-049150,零售行业,13.0,277.8,哈尔滨,二线城市,1050.0,350.3,281.0,29,拒绝,家电零售,346.1,9504
RETL-202512-660396,零售行业,14.0,176.5,济南,二线城市,895.0,30.1,21.6,52,通过,美妆零售,572.7,1771
RETL-202512-432785,零售行业,3.0,120.5,唐山,三线及以下,743.0,359.8,241.6,37,拒绝,美妆零售,575.3,3245
RETL-202512-081960,零售行业,5.0,408.9,常州,三线及以下,427.0,831.5,510.7,108,通过,家电零售,989.6,20129
RETL-202512-981252,零售行业,8.0,198.5,阜阳,三线及以下,536.0,159.9,121.9,60,通过,家电零售,71.8,3961
RETL-202512-259607,零售行业,11.0,94.2,南京,新一线城市,827.0,672.1,417.6,70,通过,便利店,1185.2,49467
RETL-202512-162879,零售行业,2.0,163.0,邯郸,三线及以下,532.0,337.3,281.2,32,通过,服饰零售,60.1,1213
RETL-202512-700808,零售行业,4.0,160.7,广州,一线城市,786.0,322.9,206.6,12,通过,生鲜零售,730.9,7712
RETL-202512-374969,零售行业,9.0,81.5,天津,新一线城市,545.0,134.4,91.8,36,通过,文具零售,316.5,6014
RETL-202512-326775,零售行业,2.0,250.9,邯郸,三线及以下,593.0,700.5,548.2,73,通过,便利店,1011.9,44959
RETL-202512-592018,零售行业,10.0,489.9,苏州,新一线城市,757.0,661.2,420.7,81,通过,家电零售,1241.9,47462
RETL-202512-607514,零售行业,10.0,272.2,唐山,三线及以下,757.0,345.3,293.1,7,通过,美妆零售,309.1,4553
RETL-202512-439093,零售行业,,346.3,潍坊,三线及以下,369.0,289.1,214.9,32,通过,家电零售,625.7,5897
RETL-202512-771425,零售行业,2.0,397.6,武汉,新一线城市,853.0,905.9,648.0,93,通过,家电零售,1027.8,11296
RETL-202512-824785,零售行业,9.0,489.5,上海,一线城市,550.0,73.1,46.3,51,通过,文具零售,349.9,6977
RETL-202512-916753,零售行业,8.0,277.3,厦门,二线城市,427.0,297.0,244.3,5,通过,生鲜零售,437.7,1773
RETL-202512-418982,零售行业,11.0,53.6,厦门,二线城市,710.0,961.4,617.7,93,通过,家电零售,1341.4,39734
RETL-202512-718611,零售行业,3.0,240.8,阜阳,三线及以下,909.0,0.0,0.0,43,通过,文具零售,119.2,7111
RETL-202512-485892,零售行业,3.0,281.7,青岛,二线城市,890.0,449.5,342.5,44,通过,家电零售,305.0,9347
RETL-202512-524580,零售行业,8.0,365.8,北京,一线城市,781.0,244.6,147.6,49,通过,家电零售,267.1,3142
RETL-202512-293851,零售行业,4.0,477.5,深圳,一线城市,618.0,264.6,196.1,34,拒绝,服饰零售,485.6,9083
RETL-202512-401397,零售行业,3.0,374.9,天津,新一线城市,741.0,128.7,80.3,60,通过,便利店,285.0,6920
RETL-202512-029968,零售行业,13.0,274.0,重庆,新一线城市,431.0,890.1,684.3,102,通过,综合商超,860.5,34706
RETL-202512-708033,零售行业,10.0,,济南,二线城市,370.0,137.2,108.6,47,拒绝,家电零售,161.1,9793
RETL-202512-620060,零售行业,11.0,104.2,青岛,二线城市,555.0,,,39,通过,便利店,105.3,5311
RETL-202512-376789,零售行业,5.0,283.2,哈尔滨,二线城市,820.0,264.2,180.6,40,拒绝,生鲜零售,448.3,4066
RETL-202512-288505,零售行业,8.0,224.1,济南,二线城市,401.0,786.8,502.4,63,通过,生鲜零售,1472.8,21892
RETL-202512-830176,零售行业,30.0,350.1,武汉,新一线城市,824.0,150.8,117.4,23,通过,文具零售,508.7,5188
RETL-202512-153915,零售行业,5.0,147.6,宁波,二线城市,837.0,319.9,202.5,36,通过,生鲜零售,645.7,1338
RETL-202512-658254,零售行业,1.0,65.5,青岛,二线城市,586.0,44.5,32.0,9,通过,美妆零售,517.9,6119
RETL-202512-646451,零售行业,5.0,490.0,保定,三线及以下,1050.0,107.7,82.1,56,通过,文具零售,210.1,8869
RETL-202512-915145,零售行业,12.0,356.0,盐城,三线及以下,457.0,87.4,72.3,12,拒绝,文具零售,439.7,6731
RETL-202512-264414,零售行业,1.0,430.6,厦门,二线城市,368.0,574.8,392.5,77,拒绝,家电零售,997.0,49156
RETL-202512-946688,零售行业,10.0,163.3,宁波,二线城市,343.0,393.7,240.1,8,通过,便利店,254.2,7521
RETL-202512-939589,零售行业,6.0,429.7,天津,新一线城市,720.0,961.7,788.4,62,通过,美妆零售,1452.1,45467
RETL-202512-590276,零售行业,11.0,282.3,上海,一线城市,328.0,95.4,59.2,36,通过,家电零售,726.8,3829
RETL-202512-589099,零售行业,1.0,119.6,盐城,三线及以下,780.0,57.1,45.1,49,拒绝,美妆零售,400.2,9256
RETL-202512-312711,零售行业,13.0,280.9,阜阳,三线及以下,311.0,731.0,606.8,107,通过,美妆零售,891.4,39734
RETL-202512-485537,零售行业,14.0,431.2,厦门,二线城市,730.0,668.1,457.9,104,通过,家电零售,881.6,14702
RETL-202512-269669,零售行业,7.0,155.0,保定,三线及以下,686.0,358.8,265.5,37,通过,美妆零售,672.1,6896
RETL-202512-705315,零售行业,4.0,166.3,南京,新一线城市,487.0,248.7,194.6,15,通过,文具零售,709.9,5913
RETL-202512-721953,零售行业,4.0,310.0,成都,新一线城市,662.0,48.8,36.6,48,通过,便利店,782.5,8026
RETL-202512-241023,零售行业,13.0,90.1,保定,三线及以下,759.0,305.9,198.8,44,通过,文具零售,210.0,3233
RETL-202512-148040,零售行业,5.0,466.8,阜阳,三线及以下,331.0,183.6,143.4,49,通过,生鲜零售,240.3,1369
RETL-202512-368682,零售行业,11.0,446.8,广州,一线城市,937.0,197.4,164.2,33,通过,便利店,568.8,7290
RETL-202512-954604,零售行业,5.0,374.2,大连,二线城市,374.0,208.7,141.2,7,通过,美妆零售,460.5,8090
RETL-202512-168572,零售行业,10.0,41.0,天津,新一线城市,389.0,157.1,128.9,8,通过,综合商超,277.0,1638
RETL-202512-683161,零售行业,9.0,456.2,成都,新一线城市,589.0,120.2,101.9,41,通过,家电零售,56.9,4346
RETL-202512-338684,零售行业,10.0,237.0,哈尔滨,二线城市,510.0,278.7,209.1,6,通过,生鲜零售,380.9,2815
RETL-202512-537256,零售行业,11.0,53.9,沈阳,二线城市,693.0,600.1,404.2,96,拒绝,生鲜零售,1354.6,22743
RETL-202512-432740,零售行业,3.0,481.2,南京,新一线城市,833.0,77.9,47.0,7,通过,文具零售,577.6,9392
RETL-202512-367434,零售行业,2.0,484.9,深圳,一线城市,774.0,125.2,85.2,42,通过,便利店,63.8,5683
RETL-202512-788544,零售行业,5.0,20.3,保定,三线及以下,800.0,588.4,375.2,79,通过,文具零售,1190.2,46626
RETL-202512-643852,零售行业,3.0,29.1,大连,二线城市,888.0,46.7,28.5,32,拒绝,文具零售,384.2,7795
RETL-202512-918233,零售行业,4.0,408.4,保定,三线及以下,498.0,124.9,82.6,13,通过,综合商超,655.1,1436
RETL-202512-518920,零售行业,6.0,422.9,深圳,一线城市,495.0,80.4,58.5,48,通过,便利店,129.6,8135
RETL-202512-366600,零售行业,6.0,347.9,上海,一线城市,497.0,117.1,81.6,11,通过,美妆零售,182.5,9874
RETL-202512-899485,零售行业,1.0,423.4,沈阳,二线城市,558.0,254.9,205.3,53,通过,家电零售,253.7,3438
RETL-202512-993474,零售行业,15.0,326.5,苏州,新一线城市,367.0,390.3,298.8,37,通过,便利店,543.0,5385
RETL-202512-090804,零售行业,3.0,267.9,济南,二线城市,639.0,327.0,211.1,46,通过,服饰零售,651.2,5640
RETL-202512-008881,零售行业,2.0,215.6,成都,新一线城市,620.0,352.5,292.1,8,通过,便利店,664.7,2385
RETL-202512-668517,零售行业,15.0,440.6,广州,一线城市,326.0,190.9,128.1,37,拒绝,家电零售,132.0,1317
RETL-202512-516528,零售行业,2.0,92.1,哈尔滨,二线城市,471.0,878.1,734.2,68,通过,文具零售,1109.8,41492
RETL-202512-825466,零售行业,14.0,48.3,保定,三线及以下,847.0,683.3,488.6,107,通过,生鲜零售,1308.1,29844
RETL-202512-672464,零售行业,13.0,137.7,邯郸,三线及以下,714.0,91.6,59.2,50,通过,美妆零售,628.3,2758
RETL-202512-485937,零售行业,1.0,175.8,哈尔滨,二线城市,407.0,136.2,83.0,13,通过,便利店,89.1,7752
RETL-202512-726997,零售行业,13.0,376.1,厦门,二线城市,905.0,303.1,237.1,46,通过,文具零售,561.8,2300
RETL-202512-920260,零售行业,15.0,480.3,武汉,新一线城市,648.0,134.6,113.2,46,拒绝,综合商超,336.3,8020
RETL-202512-453636,零售行业,15.0,312.8,北京,一线城市,630.0,161.0,125.7,39,通过,综合商超,749.3,1860
RETL-202512-571327,零售行业,13.0,409.1,成都,新一线城市,727.0,156.1,116.2,5,通过,家电零售,654.0,6810
RETL-202512-769678,零售行业,15.0,43.4,广州,一线城市,520.0,73.6,53.0,51,通过,美妆零售,488.2,3334
RETL-202512-570494,零售行业,1.0,389.9,沈阳,二线城市,761.0,174.4,139.4,49,通过,生鲜零售,345.4,1470
RETL-202512-492302,零售行业,4.0,487.8,沈阳,二线城市,412.0,232.0,161.2,28,通过,生鲜零售,388.8,1130
RETL-202512-045452,零售行业,15.0,25.4,西安,新一线城市,850.0,134.0,94.1,19,通过,文具零售,776.4,9838
RETL-202512-751110,零售行业,10.0,412.1,宁波,二线城市,676.0,176.1,124.8,45,通过,家电零售,424.9,4890
RETL-202512-083636,零售行业,15.0,213.1,重庆,新一线城市,939.0,257.4,199.0,21,通过,便利店,699.3,9155
RETL-202512-342136,零售行业,1.0,215.0,深圳,一线城市,424.0,219.1,254.1,8,通过,文具零售,267.1,5029
RETL-202512-851718,零售行业,3.0,165.2,沈阳,二线城市,926.0,139.5,102.7,33,通过,便利店,65.7,7577
RETL-202512-053363,零售行业,5.0,387.6,保定,三线及以下,608.0,295.5,236.0,28,拒绝,服饰零售,276.5,5429
RETL-202512-147313,零售行业,11.0,174.6,哈尔滨,二线城市,688.0,194.4,137.3,39,通过,家电零售,657.7,6924
RETL-202512-224206,零售行业,9.0,35.6,苏州,新一线城市,668.0,376.2,238.4,300,通过,生鲜零售,644.6,3743
RETL-202512-189251,零售行业,9.0,61.4,阜阳,三线及以下,867.0,849.7,607.6,64,通过,便利店,815.5,39390
RETL-202512-895968,零售行业,1.0,473.2,盐城,三线及以下,763.0,161.9,134.9,28,通过,综合商超,400.7,1965
RETL-202512-384857,零售行业,12.0,93.6,西安,新一线城市,352.0,76.3,48.8,16,通过,生鲜零售,240.8,8014
RETL-202512-620082,零售行业,14.0,472.0,北京,一线城市,684.0,214.4,148.1,53,通过,综合商超,440.7,6427
RETL-202512-018227,零售行业,5.0,46.8,泉州,三线及以下,501.0,197.9,156.4,7,通过,文具零售,144.4,2880
RETL-202512-199135,零售行业,5.0,251.3,沈阳,二线城市,756.0,266.8,194.8,11,拒绝,服饰零售,435.3,8077
RETL-202512-263064,零售行业,11.0,434.2,武汉,新一线城市,915.0,348.2,254.8,6,通过,综合商超,306.4,9447
RETL-202512-026055,零售行业,1.0,364.2,沈阳,二线城市,602.0,345.3,222.7,39,通过,服饰零售,550.0,4938
RETL-202512-206880,零售行业,12.0,203.3,济南,二线城市,742.0,952.5,658.1,106,通过,文具零售,874.2,13095
RETL-202512-128385,零售行业,8.0,383.9,沈阳,二线城市,570.0,359.7,265.7,54,通过,便利店,293.8,4889
RETL-202512-413949,零售行业,11.0,323.8,济南,二线城市,440.0,159.5,131.4,38,通过,服饰零售,654.1,9245
RETL-202512-625891,零售行业,4.0,268.9,青岛,二线城市,362.0,983.0,749.8,77,拒绝,家电零售,1418.4,21627
RETL-202512-706923,零售行业,11.0,258.6,广州,一线城市,352.0,396.8,271.2,15,拒绝,服饰零售,57.4,6235
RETL-202512-406293,零售行业,9.0,282.0,深圳,一线城市,471.0,,,35,拒绝,服饰零售,490.4,7228
RETL-202512-172101,零售行业,9.0,414.2,深圳,一线城市,748.0,37.9,24.0,47,通过,生鲜零售,455.6,3208
RETL-202512-219142,零售行业,9.0,126.8,重庆,新一线城市,650.0,395.3,295.0,50,通过,家电零售,620.8,4833
RETL-202512-077945,零售行业,11.0,111.1,苏州,新一线城市,799.0,240.3,161.7,12,通过,生鲜零售,172.5,1244
RETL-202512-170340,零售行业,1.0,495.3,盐城,三线及以下,402.0,296.6,251.4,28,通过,家电零售,40.4,6777
RETL-202512-525191,零售行业,9.0,439.5,宁波,二线城市,648.0,216.8,145.5,25,通过,便利店,538.4,7967
RETL-202512-791741,零售行业,10.0,376.1,阜阳,三线及以下,400.0,900.1,556.6,87,通过,便利店,951.3,49939
RETL-202512-635142,零售行业,12.0,88.1,宁波,二线城市,871.0,194.3,164.9,44,通过,综合商超,310.3,7078
RETL-202512-638353,零售行业,15.0,464.9,泉州,三线及以下,883.0,258.6,160.9,13,通过,服饰零售,101.3,5351
RETL-202512-206719,零售行业,6.0,199.9,哈尔滨,二线城市,834.0,222.8,177.0,15,通过,便利店,222.4,3124
RETL-202512-417528,零售行业,1.0,95.3,邯郸,三线及以下,,141.6,100.8,44,拒绝,家电零售,649.8,2464
RETL-202512-990405,零售行业,10.0,309.9,阜阳,三线及以下,816.0,145.0,106.8,42,通过,服饰零售,86.2,5214
RETL-202512-465499,零售行业,4.0,388.9,苏州,新一线城市,382.0,273.0,208.2,34,通过,美妆零售,73.9,1112
RETL-202512-778102,零售行业,12.0,296.5,西安,新一线城市,666.0,152.9,101.0,50,拒绝,便利店,777.1,7578
RETL-202512-493343,零售行业,12.0,379.2,济南,二线城市,695.0,263.8,201.6,21,通过,美妆零售,587.9,6782
RETL-202512-512170,零售行业,13.0,443.3,深圳,一线城市,838.0,58.9,40.0,38,通过,服饰零售,128.8,3981
RETL-202512-640316,零售行业,6.0,480.5,沈阳,二线城市,515.0,113.3,70.7,55,通过,文具零售,268.8,6002
RETL-202512-581637,零售行业,5.0,291.5,武汉,新一线城市,737.0,280.5,177.7,36,通过,生鲜零售,539.7,2950
RETL-202512-334195,零售行业,10.0,105.2,泉州,三线及以下,518.0,317.9,254.9,29,通过,综合商超,334.9,2600
RETL-202512-595652,零售行业,6.0,281.2,北京,一线城市,858.0,24.0,18.3,20,通过,生鲜零售,339.3,7397
RETL-202512-289227,零售行业,5.0,19.4,成都,新一线城市,598.0,354.1,230.0,22,通过,生鲜零售,520.1,5573
RETL-202512-370830,零售行业,6.0,125.0,成都,新一线城市,612.0,24.6,18.8,31,通过,服饰零售,45.7,8695
RETL-202512-078383,零售行业,11.0,115.9,成都,新一线城市,546.0,193.5,127.8,44,通过,文具零售,350.9,7134
RETL-202512-785477,零售行业,15.0,18.7,常州,三线及以下,572.0,331.1,245.8,53,通过,综合商超,325.0,5823
RETL-202512-938051,零售行业,1.0,157.2,哈尔滨,二线城市,921.0,110.3,68.5,37,通过,服饰零售,365.5,5253
RETL-202512-930315,零售行业,1.0,111.9,哈尔滨,二线城市,317.0,343.9,251.5,56,通过,综合商超,744.7,7417
RETL-202512-135109,零售行业,6.0,169.2,北京,一线城市,674.0,510.8,424.8,62,通过,便利店,1323.7,42216
RETL-202512-531018,零售行业,2.0,255.4,广州,一线城市,471.0,181.0,148.5,10,通过,文具零售,495.5,9708
RETL-202512-725467,零售行业,6.0,13.4,常州,三线及以下,551.0,127.3,95.2,20,通过,便利店,395.5,4231
RETL-202512-470051,零售行业,14.0,239.7,广州,一线城市,302.0,463.2,286.7,29,拒绝,美妆零售,530.2,2688
RETL-202512-082513,零售行业,6.0,177.9,哈尔滨,二线城市,636.0,692.0,441.4,83,通过,服饰零售,1186.9,48146
RETL-202512-787793,零售行业,11.0,460.0,上海,一线城市,610.0,369.7,271.7,20,通过,文具零售,233.3,1711
RETL-202512-287241,零售行业,9.0,242.2,广州,一线城市,448.0,803.6,663.5,101,通过,家电零售,810.8,32434
RETL-202512-097885,零售行业,8.0,383.8,西安,新一线城市,369.0,383.3,264.6,18,通过,便利店,277.4,4730
RETL-202512-706601,零售行业,9.0,387.2,厦门,二线城市,436.0,155.7,120.7,56,通过,美妆零售,665.7,5054
RETL-202512-280564,零售行业,5.0,480.5,北京,一线城市,622.0,36.8,26.2,59,拒绝,生鲜零售,307.1,6955
RETL-202512-649110,零售行业,15.0,54.9,深圳,一线城市,934.0,244.8,152.0,24,通过,生鲜零售,123.9,1966
RETL-202512-459400,零售行业,3.0,480.2,盐城,三线及以下,339.0,171.8,130.8,19,通过,生鲜零售,551.9,3996
RETL-202512-655997,零售行业,13.0,87.9,阜阳,三线及以下,503.0,155.9,99.6,40,通过,家电零售,538.9,8792
RETL-202512-532890,零售行业,9.0,103.0,大连,二线城市,336.0,254.6,174.5,17,通过,生鲜零售,360.2,3016
RETL-202512-789390,零售行业,4.0,224.0,济南,二线城市,757.0,230.3,186.0,7,通过,便利店,376.4,2833
RETL-202512-845086,零售行业,11.0,226.4,苏州,新一线城市,772.0,109.2,88.9,57,拒绝,便利店,433.5,2413
RETL-202512-330138,零售行业,11.0,121.6,成都,新一线城市,578.0,384.7,290.8,14,通过,便利店,588.7,3024
RETL-202512-138086,零售行业,11.0,67.6,深圳,一线城市,688.0,173.3,143.3,24,通过,服饰零售,159.9,9438
RETL-202512-751488,零售行业,12.0,172.8,南京,新一线城市,779.0,318.4,219.7,57,通过,便利店,289.8,3480
RETL-202512-963822,零售行业,9.0,435.7,宁波,二线城市,495.0,204.4,165.2,36,通过,生鲜零售,776.5,5058
RETL-202512-110259,零售行业,2.0,18.9,阜阳,三线及以下,797.0,278.8,297.1,53,通过,美妆零售,91.0,8584
RETL-202512-533955,零售行业,6.0,444.6,北京,一线城市,853.0,219.7,179.5,38,拒绝,文具零售,563.7,6986
RETL-202512-040367,零售行业,11.0,425.2,重庆,新一线城市,398.0,83.7,70.7,56,通过,生鲜零售,616.4,5497
RETL-202512-785329,零售行业,2.0,452.5,沈阳,二线城市,753.0,616.3,475.4,92,通过,综合商超,1457.2,15828
RETL-202512-020183,零售行业,15.0,71.5,保定,三线及以下,877.0,339.5,228.4,5,通过,文具零售,286.7,1171
RETL-202512-544803,零售行业,12.0,223.8,上海,一线城市,939.0,369.6,246.1,48,通过,生鲜零售,154.6,9600
RETL-202512-063907,零售行业,6.0,250.5,武汉,新一线城市,576.0,356.4,260.3,20,拒绝,家电零售,589.6,3029
RETL-202512-161651,零售行业,,466.6,广州,一线城市,726.0,40.8,32.9,36,通过,美妆零售,659.0,6408
RETL-202512-464753,零售行业,,85.3,唐山,三线及以下,922.0,380.0,234.1,26,通过,生鲜零售,770.7,5991
RETL-202512-720609,零售行业,7.0,268.2,成都,新一线城市,686.0,94.8,76.0,41,通过,便利店,561.0,9458
RETL-202512-770176,零售行业,15.0,278.3,潍坊,三线及以下,718.0,85.3,71.9,10,拒绝,美妆零售,431.9,5309
RETL-202512-822753,零售行业,4.0,215.3,北京,一线城市,796.0,390.1,253.3,22,通过,家电零售,575.2,5022
RETL-202512-175730,零售行业,11.0,411.8,阜阳,三线及以下,355.0,124.1,83.1,33,拒绝,服饰零售,575.6,5487
RETL-202512-199702,零售行业,8.0,2000.0,邯郸,三线及以下,809.0,232.7,154.3,13,通过,家电零售,760.4,7502
RETL-202512-817065,零售行业,7.0,418.5,阜阳,三线及以下,926.0,28.7,17.7,22,通过,综合商超,255.6,2198
RETL-202512-706989,零售行业,14.0,,潍坊,三线及以下,846.0,364.4,303.7,18,通过,家电零售,396.9,9357
RETL-202512-978844,零售行业,13.0,194.4,天津,新一线城市,735.0,260.0,168.5,38,通过,美妆零售,381.9,1780
RETL-202512-397426,零售行业,14.0,23.8,长沙,二线城市,795.0,554.5,429.8,94,拒绝,美妆零售,829.3,45457
RETL-202512-107279,零售行业,6.0,467.1,天津,新一线城市,423.0,122.7,94.9,6,通过,美妆零售,717.2,6706
RETL-202512-156848,零售行业,10.0,240.9,哈尔滨,二线城市,416.0,297.7,252.6,17,通过,综合商超,415.7,3115
RETL-202512-206262,零售行业,13.0,181.1,青岛,二线城市,365.0,890.6,536.0,103,通过,文具零售,892.3,33173
RETL-202512-562250,零售行业,10.0,457.0,大连,二线城市,401.0,292.9,248.2,7,通过,便利店,177.6,5137
RETL-202512-009591,零售行业,14.0,426.1,潍坊,三线及以下,770.0,349.9,229.8,47,通过,家电零售,619.0,3796
RETL-202512-286533,零售行业,8.0,210.3,天津,新一线城市,869.0,356.3,280.2,14,通过,生鲜零售,81.4,9292
RETL-202512-860186,零售行业,13.0,357.6,长沙,二线城市,750.0,376.7,302.6,47,通过,综合商超,196.4,3961
